"Name","ReferenceCount","FileCount","SampleRefs"
"area_var","11","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"__init__","37","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_source_files.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_source_files.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv"
"_frame_score","5","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"should_instant_confirm","5","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"update","56","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\taomoitruong.bat | C:\DoAnTotNghiep\V-Shield-2.0\taomoitruong.bat | C:\DoAnTotNghiep\V-Shield-2.0\taomoitruong.bat | C:\DoAnTotNghiep\V-Shield-2.0\taomoitruong_debug.bat"
"miss","8","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt"
"motion_avg","7","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_var","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_trend","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_consistency","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_linearity","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"color_avg","8","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"texture_avg","10","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
