"Name","ReferenceCount","FileCount","SampleRefs"
"fire_color_score","2","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"smoke_color_score","2","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"get_class_name","2","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"fit_image_letterbox","1","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"Track","6","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\test\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\test\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\test\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"area_var","7","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"__init__","17","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\train_lstm.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\train_lstm.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"_frame_score","3","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"should_instant_confirm","3","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"update","46","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\test\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\test\app.py | C:\DoAnTotNghiep\V-Shield-2.0\taomoitruong.bat | C:\DoAnTotNghiep\V-Shield-2.0\taomoitruong.bat | C:\DoAnTotNghiep\V-Shield-2.0\taomoitruong.bat"
"miss","3","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_avg","5","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_var","2","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_trend","2","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_consistency","4","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"motion_linearity","4","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
